team1,team2,score_team1,score_team2,wickets_team1,wickets_team2,team1_away_or_home,team2_home_away,winner,ground_country,match_date
Sri Lanka,India,302,300,4,7,home,away,Sri Lanka,Sri Lanka,1997-08-17 00:00:00
India,Sri Lanka,238,241,10,3,away,home,Sri Lanka,Sri Lanka,1997-08-20 00:00:00
Sri Lanka,India,264,255,10,8,home,away,Sri Lanka,Sri Lanka,1997-08-24 00:00:00
India,Pakistan,208,188,10,10,away,away,India,Canada,1997-09-13 00:00:00
Pakistan,India,116,117,10,3,away,away,India,Canada,1997-09-14 00:00:00
India,Pakistan,182,148,6,10,away,away,India,Canada,1997-09-18 00:00:00
Pakistan,India,159,162,6,3,away,away,India,Canada,1997-09-20 00:00:00
India,Pakistan,250,251,5,5,away,away,Pakistan,Canada,1997-09-21 00:00:00
India,Pakistan,170,171,10,5,away,home,Pakistan,Pakistan,1997-09-28 00:00:00
Pakistan,India,265,266,4,6,home,away,India,Pakistan,1997-09-30 00:00:00
Zimbabwe,New Zealand,233,233,8,9,home,away,Match tied,Zimbabwe,1997-10-01 00:00:00
India,Pakistan,216,219,10,1,away,home,Pakistan,Pakistan,1997-10-02 00:00:00
New Zealand,Zimbabwe,185,188,7,7,away,home,Zimbabwe,Zimbabwe,1997-10-04 00:00:00
New Zealand,Zimbabwe,294,211,7,10,away,home,New Zealand,Zimbabwe,1997-10-05 00:00:00
Kenya,Bangladesh,347,197,3,10,home,away,Kenya,Kenya,1997-10-10 00:00:00
Zimbabwe,Bangladesh,305,257,4,10,away,away,Zimbabwe,Kenya,1997-10-11 00:00:00
Kenya,Zimbabwe,249,244,8,4,home,away,Zimbabwe,Kenya,1997-10-12 00:00:00
Zimbabwe,Bangladesh,284,92,10,10,away,away,Zimbabwe,Kenya,1997-10-14 00:00:00
Bangladesh,Kenya,100,102,10,2,away,home,Kenya,Kenya,1997-10-15 00:00:00
Kenya,Zimbabwe,207,210,9,3,home,away,Zimbabwe,Kenya,1997-10-16 00:00:00
Zimbabwe,Kenya,281,172,8,7,away,home,Zimbabwe,Kenya,1997-10-18 00:00:00
Zimbabwe,Kenya,272,190,6,10,away,home,Zimbabwe,Kenya,1997-10-19 00:00:00
West Indies,Sri Lanka,237,240,8,3,away,away,Sri Lanka,Pakistan,1997-11-01 00:00:00
South Africa,Pakistan,271,262,10,9,away,home,South Africa,Pakistan,1997-11-02 00:00:00
West Indies,South Africa,293,297,8,5,away,away,South Africa,Pakistan,1997-11-03 00:00:00
West Indies,Pakistan,215,219,7,2,away,home,Pakistan,Pakistan,1997-11-04 00:00:00
Pakistan,Sri Lanka,280,281,10,2,home,away,Sri Lanka,Pakistan,1997-11-05 00:00:00
South Africa,Sri Lanka,311,245,9,9,away,away,South Africa,Pakistan,1997-11-06 00:00:00
Sri Lanka,South Africa,209,210,7,6,away,away,South Africa,Pakistan,1997-11-08 00:00:00
South Africa,Australia,200,133,10,10,away,home,South Africa,Australia,1997-12-04 00:00:00
New Zealand,South Africa,224,177,6,10,away,away,New Zealand,Australia,1997-12-06 00:00:00
New Zealand,Australia,260,263,7,7,away,home,Australia,Australia,1997-12-07 00:00:00
South Africa,Australia,170,125,8,10,away,home,South Africa,Australia,1997-12-09 00:00:00
South Africa,New Zealand,174,173,9,7,away,away,South Africa,Australia,1997-12-11 00:00:00
England,India,250,243,10,10,away,away,England,United Arab Emirates,1997-12-11 00:00:00
West Indies,Pakistan,275,232,7,10,away,away,West Indies,United Arab Emirates,1997-12-12 00:00:00
West Indies,England,197,198,7,6,away,away,England,United Arab Emirates,1997-12-13 00:00:00
India,Pakistan,239,243,7,6,away,away,Pakistan,United Arab Emirates,1997-12-14 00:00:00
England,Pakistan,215,207,9,10,away,away,England,United Arab Emirates,1997-12-15 00:00:00
West Indies,India,229,188,6,10,away,away,West Indies,United Arab Emirates,1997-12-16 00:00:00
New Zealand,Australia,141,142,10,4,away,home,Australia,Australia,1997-12-17 00:00:00
West Indies,England,235,239,7,7,away,away,England,United Arab Emirates,1997-12-19 00:00:00
Sri Lanka,India,172,173,9,3,away,home,India,India,1997-12-22 00:00:00
India,Sri Lanka,228,229,6,5,home,away,Sri Lanka,India,1997-12-28 00:00:00
